TIME.SecOfWeek   blh0.B        blh0.L        blh0.H      X       Y        Z       Dop       sigma0     mpos  
487750.000000  30.5100285488  114.3560556911  39.4957046183  -2268150.8885518815  5010321.8565818174  3219232.4854853814    1.3949    4.0047    5.5863  
487751.000000  30.5100285374  114.3560557009  39.5034595281  -2268150.8924260479  5010321.8628693102  3219232.4883288131    1.3948    4.0008    5.5802  
487752.000000  30.5100284741  114.3560557216  39.4883360844  -2268150.8903343072  5010321.8534215195  3219232.4746097615    1.3946    3.9855    5.5584  
487753.000000  30.5100010659  114.3560538949  33.6358198896  -2268149.2873546164  5010318.7376439441  3219226.8855372593    1.5483    1.5652    2.4234  
487754.000000  30.5100281265  114.3560557154  39.4057353456  -2268150.8685127078  5010321.8066633064  3219232.3994680741    1.3944    3.9233    5.4706  
487755.000000  30.5100279192  114.3560556950  39.3590899585  -2268150.8549670922  5010321.7814902775  3219232.3559863837    1.3942    3.8899    5.4234  
487756.000000  30.5100269534  114.3560556140  39.1429842412  -2268150.7935121660  5010321.6646031868  3219232.1540318681    1.3941    3.7572    5.2379  
487757.000000  30.5100289705  114.3560557719  39.5592972832  -2268150.9084251788  5010321.8816732112  3219232.5580460778    1.3940    4.0066    5.5850  
487758.000000  30.5100261997  114.3560555869  38.9733553277  -2268150.7483731774  5010321.5711872512  3219231.9959191969    1.3938    3.6558    5.0956  
487759.000000  30.5100251461  114.3560555182  38.7483975692  -2268150.6868855651  5010321.4513659477  3219231.7810877543    1.3937    3.5180    4.9030  
487760.000000  30.5100266307  114.3560556260  39.0619426481  -2268150.7732646475  5010321.6170650367  3219232.0820653746    1.3936    3.6881    5.1395  
487761.000000  30.5100261358  114.3560556214  38.9613358304  -2268150.7485981882  5010321.5636619898  3219231.9837205075    1.3934    3.6220    5.0470  
487762.000000  30.5100263793  114.3560556425  39.0172466058  -2268150.7646591514  5010321.5942217847  3219232.0353642753    1.3933    3.6453    5.0789  
487763.000000  30.5100255735  114.3560556017  38.8426160021  -2268150.7177491686  5010321.5000961833  3219231.8697362617    1.3931    3.5434    4.9364  
487764.000000  30.5100260871  114.3560556456  38.9598286506  -2268150.7513127951  5010321.5640179208  3219231.9783017393    1.3930    3.6051    5.0220  
487765.000000  30.5100264171  114.3560556451  39.0028854245  -2268150.7589096627  5010321.5809105439  3219232.0316792331    1.3929    3.6324    5.0595  
487766.000000  30.5100262041  114.3560556353  38.9471334899  -2268150.7431844044  5010321.5484630000  3219231.9830317604    1.3927    3.5960    5.0083  
